,ageRange,gender,isLGBT+,continent,gmtOffset,education,isStudent,employmentStatus,weeklyConsFreq,sociallyAnxious,consumptionSources,platform,isPayer,prefersSubs,visQuality,storyQuality,characterRelatability,firstFavGenre,secondFavGenre,vTuberSub,consumesHMat,socInc,wantsMoreSeinen
415,1.0,Woman,0.0,North America,-5.0,BA/BS,0.0,Unemployed,7.0,1.0,Anime;Manga;Light Novels;Visual Novels,OTHER,1.0,1.0,9.0,9.0,2.0,Supernatural,Psycho,1.0,0.0,Yes,1.0
416,1.0,Man,0.0,North America,-6.0,BA/BS,0.0,Unemployed,2.0,0.0,Anime,OTHER,0.0,0.0,9.0,10.0,10.0,Fantasy,Action,1.0,0.0,No,1.0
417,0.0,Man,0.0,Europe,2.0,HSDropout,1.0,PartTimer,5.0,1.0,Anime;Manga;Doujinshi;Visual Novels,OTHER,0.0,1.0,7.0,6.0,7.0,Comedy/SoL,SciFi/M&M,0.0,1.0,Maybe,1.0
418,2.0,Woman,0.0,North America,-8.0,BA/BS,0.0,Unemployed,6.0,1.0,Anime;Doujinshi,GSS,0.0,0.0,0.0,9.0,2.0,Psycho,Supernatural,0.0,1.0,Yes,1.0
419,0.0,Man,0.0,North America,-6.0,HSDropout,1.0,Unemployed,5.0,1.0,Anime,GSS,0.0,1.0,9.0,9.0,0.0,Action,SciFi/M&M,0.0,1.0,Maybe,1.0
420,1.0,Man,0.0,North America,-6.0,BA/BS,0.0,FullTimer,6.0,1.0,Anime;Manga;Light Novels,AFSS,1.0,1.0,7.0,9.0,0.0,Rom/Dram,Comedy/SoL,0.0,0.0,Maybe,1.0
421,1.0,Man,0.0,North America,-5.0,HS,1.0,Unemployed,3.0,1.0,Anime;Manga;Doujinshi;Light Novels;Visual Novels,OTHER,1.0,1.0,8.0,8.0,6.0,Comedy/SoL,Rom/Dram,1.0,1.0,Maybe,1.0
422,2.0,Man,0.0,North America,-5.0,BA/BS,0.0,FullTimer,6.0,1.0,Anime;Light Novels,OTHER,0.0,0.0,7.0,10.0,5.0,Fantasy,Supernatural,0.0,0.0,No,1.0
423,1.0,Man,0.0,Europe,1.0,PhD,0.0,FullTimer,7.0,0.0,Anime;Manga;Doujinshi;Light Novels,AFSS,1.0,0.0,7.0,9.0,7.0,Rom/Dram,Comedy/SoL,0.0,1.0,Maybe,1.0
424,1.0,Man,0.0,Europe,1.0,HS,1.0,Unemployed,7.0,0.0,Anime;Manga;Doujinshi;Light Novels,AFSS,0.0,1.0,4.0,8.0,3.0,Comedy/SoL,Rom/Dram,0.0,1.0,Yes,1.0
